Classes,Definition,Questions
DESCRIPTION,definition,What are perfect tenses ?
DESCRIPTION,definition,What is commonly considered the fifth sense ?
ENTITY,term,What was another name for East Germany ?
ENTITY,creative,What 's the second-biggest-selling magazine in America ?
HUMAN,ind,Who betrayed Norway to the Nazis ?
HUMAN,ind,Who took the toys donated for the Doodyville Orphans ' Fund and kept them for himself ?
DESCRIPTION,definition,What is a bourdon tube ?
ENTITY,sport,What kind of a sports team is the Wisconsin Badgers ?
HUMAN,ind,Who were the Picts ?
DESCRIPTION,description of st,"What do Caroll Baker , Tammy Grimes , Debbie Reynolds , and Judy Garland all have in common ?"
DESCRIPTION,definition,What is film noir ?
HUMAN,ind,Who is stationed at Camp Swampy in the comic strips ?
NUMERIC,date,In what year did China and the Republic of Korea establish diplomatic relations ?
DESCRIPTION,reason,What causes tuberculosis ?
NUMERIC,distance,How tall is the giraffe ?
HUMAN,ind,What actor dressed up as Santa Claus and had a once-a-year affair with actress Shelley Winters every Christmas for many years ?
ENTITY,animal,What animal was the heat-seeking missile called the Sidewinder named for ?
NUMERIC,period,How long did it take Stanley to find Livingstone ?
NUMERIC,count,How much of the nation 's children between the ages of two and eleven watch ` The Simpsons ' ?
LOCATION,other loc,What lake is Sheboygan on ?
DESCRIPTION,definition,What are a baseball team 's firemen ?
ENTITY,dismed,What is a fear of color ?
ENTITY,vehicle,What Nantucket shipwreck killed more divers exploring it than the 52 people it sank with ?
ENTITY,animal,What are the two largest birds on earth ?
ENTITY,creative,Name the four stories contained in Edith Wharton 's `` Old New York . ''
LOCATION,other loc,What is the largest lake in North America ?
NUMERIC,count,How many people died because of a smoking problem in 1997 ?
ENTITY,dismed,What is chronic constipation a symptom of ?
HUMAN,ind,Who wrote The Look of Love after viewing Ursula Andress ?
HUMAN,ind,What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?
HUMAN,ind,Who claims to have the greatest show on earth ?
DESCRIPTION,definition,What is Head Start ?
HUMAN,ind,What Honeymooners actress did Television magazine name as 1953 's most promising star ?
DESCRIPTION,reason,Why can 't women serve in the Navy on board submarines ?
ENTITY,other entity,What did the Yalta Conference lead to ?
ENTITY,animal,What dog was dubbed The Mortgage Lifter ?
DESCRIPTION,definition,What is saltpeter ?
DESCRIPTION,description of st,What 's the difference between J.D. and LL.M. ?
HUMAN,group,What kind of organization is ` Last Chance for Animals ' ?
HUMAN,ind,What was the role of the Medieval Guild ?
HUMAN,ind,Silly putty was invented by whom ?
ENTITY,other entity,What should the oven be set at for baking Peachy Oat Muffins ?
DESCRIPTION,manner,How can someone become a federal agent ?
HUMAN,ind,Who invented the paper clip ?
HUMAN,ind,Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?
NUMERIC,count,How many times in his 16-year National Basketball Associaton career was John Havlicek a member of the all-star team ?
LOCATION,city,What city or state do the most gay men live in ?
NUMERIC,period,Shea and Gould had an office in Los Angeles for how long before closing it ?
ENTITY,word,"What word occurs 46 , 227 times in the Bible ?"
DESCRIPTION,manner,How can you be happy ?
DESCRIPTION,manner,How would someone go about becoming an organ donor ?
NUMERIC,date,"What year did Degas create the bronze sculpture , `` Fourth Position Front ? ''"
HUMAN,ind,What composer was awarded the Medal of Honor by Franklin D. Roosevelt ?
NUMERIC,count,How many URL extensions are there ? and what are they ?
NUMERIC,period,How long after intercourse does it take to find out if you are pregnant ?
ABBREVIATION,exp,What does U.S.S.R. stand for ?
HUMAN,ind,"Who created the Fantastic Four , Hulk , and Thor ?"
ENTITY,dismed,What is a fear of gravity ?
HUMAN,ind,Who is the composer of `` Canon in D Major '' ?
DESCRIPTION,description of st,What did n't Rocky Marciano do in his pro boxing career ?
LOCATION,other loc,Where are all European and American eels born ?
HUMAN,ind,Who was the author of the novel `` Far From the Madding Crowd '' ?
DESCRIPTION,definition,What is the definition of ` graphic details ' ?
ENTITY,product,What was `` America 's recessed-filter cigarette '' ?
ENTITY,animal,What kind of dog is Scooby Doo ?
DESCRIPTION,reason,What is the function of the appendix ?
HUMAN,ind,What department store heir is responsible for raising a three-ton safe from the underwater wreckage of the Andrea Doria ?
ENTITY,other entity,Which sex is twice as likely to contract leprosy ?
LOCATION,city,What was the first town to be chartered in Vermont ?
LOCATION,state,What state has the longest Great Lakes shoreline ?
LOCATION,state,What U.S. state ends with a G ?
NUMERIC,count,How many varieties of twins are there ?
DESCRIPTION,definition,What is a Cartesian Diver ?
LOCATION,other loc,What are the largest libraries in the US ?
NUMERIC,count,How many people live in the Falklands ?
HUMAN,ind,Who was Camp David named for ?
ENTITY,creative,What document did President Andrew Johnson want a copy of placed under his head upon his burial ?
HUMAN,ind,Who portrayed `` the man without a face '' in the movie of the same name ?
DESCRIPTION,description of st,What happened in dogtown in 1899 to make that year remembered ?
ENTITY,other entity,What wheel did Blaise Pascal invent in a search for perpetual motion ?
NUMERIC,money,How much money was the minimum wage in 1991 ?
NUMERIC,date,In what year was the first patent for the pull-tab opener on cans obtained ?
LOCATION,country,What country boasts the most dams ?
NUMERIC,money,What is the regular price ?
LOCATION,other loc,What Metropolis landmark was first introduced in the Superman cartoons of the 1940 's ?
LOCATION,other loc,Where can one find Mozambique ?
DESCRIPTION,manner,How do you recognize anorexia ?
ENTITY,creative,What Mary Tyler Moore Show regular came into the world as Tadeus Wladyslaw Konopka ?
LOCATION,city,In what city is the US Declaration of Independence located ?
DESCRIPTION,definition,What is the largest variety of cactus ?
HUMAN,ind,Who won the first World Series ?
ENTITY,creative,What did Aaron Hass write ?
HUMAN,description human,Who is Samuel Pickering ?
HUMAN,group,What was the business of the animated Sky Hawks ?
HUMAN,ind,Who was credited with saying : `` I never met a man I did n't like '' ?
ENTITY,other entity,"What overalls are named for Dungri , a suburb of Bombay ?"
DESCRIPTION,reason,Why do rooftops give off steam after a big rainstorm ?
LOCATION,country,What nationality was Jackson Pollock ?
NUMERIC,count,How much of the earth 's surface is permanently frozen ?
ENTITY,other entity,What is the connection between New Krypton and Daxam ?
NUMERIC,date,When was Queen Victoria born ?
NUMERIC,count,How many people were executed for Abraham Lincoln 's assassination ?
DESCRIPTION,description of st,What must a Las Vegas blackjack dealer do when he reaches 16 ?
LOCATION,other loc,What is worth seeing in Reims ?
ENTITY,other entity,What type of performer is Ileana Cotrubas ?
NUMERIC,date,When was Yemen reunified ?
ENTITY,food,What line of candy products included Super Skrunch and Peanut Butter Oompas ?
DESCRIPTION,reason,Why did the Anglican church split from the Vatican ?
HUMAN,group,What organization has a Security Council ?
DESCRIPTION,manner,How would I find the price of different organs that have been donated ?
HUMAN,ind,What Mexican leader was shot dead in 1923 ?
ABBREVIATION,exp,What does NECROSIS mean ?
DESCRIPTION,definition,What is magnetar ?
ENTITY,event,"What feud ended with a marriage in Kentucky on March 21 , 1891 ?"
ENTITY,color,What color is the stripe along each side of a Coho salmon ?
NUMERIC,money,What is the federal minimum wage ?
ENTITY,term,Mississippi is nicknamed what ?
NUMERIC,other num,What are the unemployment statistics for the years 1965 and 1990 ?
LOCATION,other loc,Where is Santa Lucia ?
HUMAN,ind,What female painter produced primitives of rural New England life ?
HUMAN,ind,What are names of two old men who appear in the serial tv Muppets Show ?
ENTITY,event,What war saw battles at Parrot 's Beak and Black Virgin ?
DESCRIPTION,description of st,What should you yell to hail a taxi in Madrid ?
NUMERIC,other num,What is the horsepower of the shuttle boosters ?
NUMERIC,date,What year did Apartheid start ?
HUMAN,ind,Who created Big Ben ?
LOCATION,city,What city is found in the city of OZ ?
DESCRIPTION,description of st,What ever happened to the once popular Yale Lock Company ?
HUMAN,group,Name the Marvel team loosely based on DC 's Justice League of America ?
ENTITY,other entity,What did a 16th-century Aztec athlete get for putting a rubber ball through a ring ?
LOCATION,state,"What populous state covers 49 , 576 square miles ?"
HUMAN,group,What college football team did Knute Rockne build into a power ?
LOCATION,state,In what state was there an 11 million gallon oil spill ?
NUMERIC,date,"When did Aldous Huxley write , `` Brave New World '' ?"
LOCATION,country,What country did the ancient Romans refer to as Hibernia ?
HUMAN,group,In what high-risk business venture did Jimmy the Greek bet and lose ?
ENTITY,food,What do chefs call The Master Spice ?
ABBREVIATION,abb,What is the abbreviation of General Motors ?
DESCRIPTION,definition,What is a Devo hat ?
NUMERIC,period,How long was the longest hiccup attack ?
ENTITY,other entity,What kind of weapons were used in Medieval warfare ?
NUMERIC,count,How many people live in Tokyo ?
HUMAN,ind,What fruit-topped actress was known as The Brazilian Bombshell ?
ENTITY,animal,What are birds descendents of ?
HUMAN,group,"When the Tutankhamun exhibit was on display in the U.S. , what moving company transported it ?"
ENTITY,creative,Which Kevin Costner movie involves the Sioux Indians ?
HUMAN,ind,Who played the title role in My Favorite Martian ?
DESCRIPTION,manner,How does a scientific calculator work ?
ENTITY,dismed,What is a fear of fur ?
HUMAN,ind,Who invented the game Scrabble ?
ENTITY,other entity,What part of their attire were `` pothooks '' to cowboys of the Old West ?
NUMERIC,date,When did humans first begin to write history seriously ?
DESCRIPTION,reason,Why do we have to go to school ?
DESCRIPTION,definition,What is Toulmin logic ?
ENTITY,other entity,A corgi is a kind of what ?
LOCATION,city,What city in the U.S. experienced the most growth recently ?
DESCRIPTION,definition,What is a dangling participle ?
LOCATION,other loc,What Tokyo street glitters with famed department stores and nightclubs ?
NUMERIC,period,What was the average life expectancy during the Stone Age ?
HUMAN,ind,"When Mighty Mouse was conceived , what was his original name ?"
DESCRIPTION,description of st,What is the origin of the peace symbol ?
HUMAN,group,What group starred in the movie Rock Around the Clock ?
NUMERIC,count,How many U.S. presidents were assassinated during Queen Victoria 's reign ?
NUMERIC,date,When was the first flush toilet invented ?
HUMAN,ind,What is Nathan Hamill 's role in the new Star Wars prequel ?
NUMERIC,count,How many disks does each player have in a four-handed game of Crokinole ?
NUMERIC,period,How old is the sun ?
NUMERIC,perc,What percentage of children between the ages of two and eleven watch ` The Simpsons ' ?
DESCRIPTION,manner,"How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?"
DESCRIPTION,manner,How do I write to my Congressman ?
NUMERIC,count,How many years ago did Led Zeppelin release its last album ?
ENTITY,term,What is the term for a group of geese ?
NUMERIC,count,How many people was Randy Craft convicted of killing ?
ENTITY,event,What was the name of the famous battle between Texas and Mexico ?
LOCATION,country,What country are you in if you woo in the Wu dialect ?
ENTITY,term,What do you call a Poker hand with five cards of the same suit ?
HUMAN,ind,What New York Yankee was known as The Iron Horse ?
HUMAN,ind,Who is considered The First Lady of the American Stage ?
HUMAN,ind,Who penned : `` Neither a borrower nor a lender be '' ?
DESCRIPTION,definition,What is moxie ?
ENTITY,creative,What was the first Sam Spade novel ?
ENTITY,creative,What song did Patti Page set people dancing to in 1950 ?
HUMAN,ind,Who headed Hitler 's infamous Gestapo ?
LOCATION,city,What South American city features the exclusive Copacabana Beach and Ipanema ?
LOCATION,city,What German city do Italians call The Monaco of Bavaria ?
LOCATION,other loc,"What island group contains Jersey , Guernsey , Sark and Herm ?"
ENTITY,dismed,What is a fear of strong light ?
HUMAN,ind,What is a person called that likes fire ?
LOCATION,other loc,"Where was helium first discovered , hence its name ?"
ENTITY,techmeth,What is the best way to overcome a fear ?
HUMAN,group,Name a South African diamond producer ?
HUMAN,ind,Who made the musical plea Be True to Your School ?
HUMAN,ind,What French designer declared : `` The jean is the destructor ! It is a dictator ! It is destroying creativity. The jean must be stopped ! '' ?
NUMERIC,date,What season is the setting for Shakespeare 's Midsummer Night 's Dream ?
HUMAN,group,Name a band which was famous in the 1960 's .
HUMAN,ind,What comedian was banned from the Ed Sullivan Show for allegedly making an obscene gesture at the show 's host ?
LOCATION,country,What country is the setting for Edgar Allan Poe 's The Pit and the Pendulum ?
HUMAN,ind,What Apollo 11 astronaut minded the store while Armstrong and Aldrin made history ?
NUMERIC,money,What is the current ticket fare from from Cairo to Barbados ?
LOCATION,mount,What is the second highest mountain peak in the world ?
HUMAN,ind,What Good Little Witch is Casper 's girlfriend ?
ENTITY,creative,In which Tennessee Williams play is one of the characters killed and devoured by a mob of starving children ?
HUMAN,ind,"What was the nickname of Frederick I , Holy Roman Emperor and King of Germany ?"
ENTITY,event,What war did the Potsdam Conference follow ?
ENTITY,dismed,What 's the most common non-contagious disease in the world ?
NUMERIC,date,"What month , date , and year did Charles I die ?"
NUMERIC,count,How many cubic feet of space does a gallon of water occupy ?
DESCRIPTION,definition,What is the hair style called that new military recruits receive ?
LOCATION,other loc,What 's the world 's largest cathedral ?
DESCRIPTION,description of st,What effects do nitrates have on the environment ?
DESCRIPTION,definition,What is Nitrox diving ?
LOCATION,country,What three European countries begin with the letter A ?
DESCRIPTION,description of st,What happened in the Long March ?
ENTITY,event,What was the name of Hitler 's unsuccessful attempt to overthrow the Bavarian government in Munich in 1923 ?
DESCRIPTION,manner,How can I find online spelling ?
NUMERIC,count,How many earthworms are in a single pasture ?
HUMAN,ind,Who made Stonehenge ?
NUMERIC,other num,What is the average hourly rate of American workers ?
ENTITY,sport,What sport features snatches and clean jerks ?
HUMAN,ind,Who 's the founder and editor of The National Review ?
NUMERIC,date,In what year did they build the Berlin Wall ?
HUMAN,ind,Who was the first governor of West Virginia ?
LOCATION,other loc,What 's the world 's longest suspension bridge ?
LOCATION,city,What Asian city boasts the world 's biggest bowling alley ?
NUMERIC,date,When will Jean Aeul publish her next book ?
HUMAN,ind,"What famous soldier was born in Europe , died in Asia , and was laid to rest in Africa ?"
ENTITY,food,"When it 's time to relax , what one beer stands clear ?"
HUMAN,group,What culture developed the idea of potlatch ?
HUMAN,group,What baseball team became the Minnesota Twins ?
ENTITY,instru,What kind of guitar did Jimi Hendrix play ?
LOCATION,city,What were the first three cities to have a population of more than a million ?
LOCATION,other loc,What constellation contains the twins Castor and Pollux ?
NUMERIC,count,How many meters are in a mile ?
DESCRIPTION,definition,What is a gas release event ?
ENTITY,creative,What James Michener book is subtitled Spanish Travels and Reflections ?
LOCATION,other loc,What famed London criminal court was once a feudal castle ?
NUMERIC,count,How many milligrams are in a gram ?
ENTITY,other entity,What stringed weapon fires a bolt ?
LOCATION,other loc,Where did he get the title ?
LOCATION,other loc,Where can I find a large list of 5 to 6 letter words ?
HUMAN,ind,What is Michael Jackson 's middle name ?
HUMAN,ind,Who was the first woman to fly solo across the Atlantic ?
NUMERIC,period,How long is human gestation ?
DESCRIPTION,definition,What does `` Semper Fidelis '' mean ?
ENTITY,product,What kind of suit did true hepcats wear in 1942 ?
LOCATION,other loc,Where does Mother Angelica live ?
DESCRIPTION,manner,How can I find out my Moon sign ?
DESCRIPTION,reason,Why does a candle need a wick ?
ENTITY,instru,Musician Ray Charles plays what instrument ?
DESCRIPTION,description of st,What were the three prophecies the witches make to Macbeth ?
NUMERIC,other num,What 's the population of Mississippi ?
HUMAN,ind,Who started the Dominos Pizza chain ?
ENTITY,creative,In what film did Steven Spielberg 's dog star as the main character 's dog ?
ENTITY,dismed,What are all the different kinds of contraceptives ?
NUMERIC,period,How old is Jeremy Piven ?
DESCRIPTION,description of st,What is the history of yo-yos ?
HUMAN,ind,Which NBA players had jersey number 0 ?
HUMAN,group,What chocolate company gives you a one-pound kiss ?
DESCRIPTION,manner,How does one correctly pronounce ` qigong ' ?
ENTITY,other entity,What fossilizes to form coprolite ?
NUMERIC,count,How many colored squares are there on a Rubik 's Cube ?
LOCATION,other loc,Where is the Mayo Clinic ?
LOCATION,other loc,What Caribbean island is sometimes called Little England ?
LOCATION,other loc,Where is Amsterdam ?
LOCATION,other loc,Where can I find the lyrics for the song ` Getting Married Today ' from the musical ` Company ' ?
ENTITY,word,What 's another word that means `` knows all '' ?
HUMAN,ind,"Who is the famous movie star who also acted as sewer commissioner of Provo Canyon , Utah ?"
LOCATION,city,What Australian city became the home of the America 's Cup ?
ENTITY,term,Aspartame is known by what other name ?
DESCRIPTION,definition,What is pasta ?
HUMAN,ind,Name Randy Craft 's lawyer .
ENTITY,color,What color is `` ash '' ?
HUMAN,group,What is the best distance education university or college ?
LOCATION,other loc,What river does the Grand Coulee Dam dam ?
NUMERIC,other num,How often are quadruplets born ?
DESCRIPTION,manner,How does psorisis disappear ?
NUMERIC,count,How many presidents have died on the 4th of July ?
ENTITY,color,What three colors are on the French flag ?
DESCRIPTION,description of st,What 's the mystery of the Bermuda Triangle ?
ENTITY,other entity,What are the seven wonders of the world ?
ABBREVIATION,exp,What does CNN stand for ?
HUMAN,ind,What is a person called that likes fire ?
HUMAN,ind,Who portrayed Vincent Van Gogh in Lust for Life ?
ENTITY,other entity,What constitutes an adult ?
LOCATION,other loc,What is a reliable site that I can download Heretic 2 ?
DESCRIPTION,definition,What is a neurosurgeon ?
ENTITY,sport,"What baseball outcome required nine balls in 1879 , eight balls in 1880 and seven balls in 1881 ?"
DESCRIPTION,definition,What are amaretto biscuits ?
ENTITY,dismed,What common ailment can 't you catch at the North Pole ?
NUMERIC,date,What season begins with the vernal equinox ?
HUMAN,ind,Who was known as the Time Master in comic books ?
ENTITY,animal,What was the name of Roy Rogers 's dog ?
ENTITY,creative,What TV series changed the names to protect the innocent ?
LOCATION,other loc,Where did cable cars first roll down Clay Street in 1873 ?
LOCATION,other loc,What is George Lucas 's e-mail address ?
DESCRIPTION,manner,How do I give a good massage ?
HUMAN,ind,Who is the father of the computer ?
DESCRIPTION,description of st,What is the origin of `` jiggy '' as in getting jiggy with it ?
DESCRIPTION,description of st,What is the origin of a.m. and p.m. ?
DESCRIPTION,definition,What is the definition of cosmology ?
ENTITY,animal,What is the name of the dog on the Cracker Jack box ?
DESCRIPTION,definition,What are manifest and latent function theories ?
ENTITY,creative,What William Styron book is about a black preacher who leads a slave revolt ?
ENTITY,symbol,What is the chemical symbol for nitrogen ?
HUMAN,ind,Who said : `` Old soldiers never die ; they just fade away '' ?
HUMAN,group,What National League baseball team employed 72 third baseemen in its first 2 seasons ?
DESCRIPTION,definition,What are snowballs to a hot-rodder ?
NUMERIC,distance,How long were Tyrannosaurus Rex 's teeth ?
DESCRIPTION,description of st,What is the origin of the word Ozymandias ?
HUMAN,ind,Who 's the only man to have won the Olympic decathlon twice ?
LOCATION,city,What Kenyan city is the safari center for East Africa ?
DESCRIPTION,reason,Why do men snore ?
DESCRIPTION,reason,What causes `` rolling thunder '' ?
HUMAN,ind,What is the name of Miss India 1994 ?
LOCATION,state,What four U.S. states have active volcanoes ?
DESCRIPTION,description of st,What 's the setting of John Le Carre 's A Small Town in Germany ?
DESCRIPTION,description of st,What does an echidna look like ?
DESCRIPTION,description of st,What is the secret of the universe ?
HUMAN,ind,Who was the second man to walk on the moon ?
HUMAN,ind,What major Victorian novelist spent as much time working for the post office as he did writing ?
DESCRIPTION,reason,What caused an adjournment of the 25th anniversary session of the United Nations General Assembly ?
HUMAN,group,The major league baseball team in Pittsburgh is called what ?
ENTITY,term,What is the name of the Islamic counterpart to the Red Cross ?
NUMERIC,date,What year were the Olympic Games played in where Nadia Comaneci became popular ?
ENTITY,substance,What is glass made of ?
DESCRIPTION,manner,How did Lee Harvey Oswald purchase his rifle ?
DESCRIPTION,manner,How do I sing like Elvis Presley ?
LOCATION,other loc,What are the biggest Indian airports ?
ENTITY,creative,What is the folklore story regarding birds ' nests and birds in Christmas trees ?
LOCATION,other loc,"What are the world 's three largest oceans , in order of size ?"
HUMAN,ind,Who is the Pope ?
LOCATION,other loc,Where on the Internet can I find information on laundry detergent ?
ENTITY,term,What do the French call La Manche ?
ENTITY,techmeth,What 's an easy way to count the approximate number of fish in a lake ?
DESCRIPTION,manner,How do you clean up a cache ?
ENTITY,vehicle,What was the name of Aristotle Onassis 's yacht ?
ENTITY,dismed,What is a fear of being dirty ?
ENTITY,animal,What animal occurs in Spielberg 's `` Jaws '' ?
DESCRIPTION,definition,What 's the Red Planet ?
NUMERIC,count,The Shea & Gould law firm had an office in L.A. for how many years ?
HUMAN,ind,What 's the most common surname in America ?
NUMERIC,period,How long does it take the typical American to eat 23 quarts of ice cream ?
DESCRIPTION,description of st,What is the difference between a fruit and a vegetable ?
ENTITY,plant,What kind of tree graces Lebanon 's flag ?
DESCRIPTION,definition,What is tumbled marble ?
ENTITY,techmeth,What are the various ways in which one can measure IT User Satisfaction Level ?
LOCATION,city,What city is sometimes called The Athens of Switzerland ?
LOCATION,other loc,Where did bocci originate ?
DESCRIPTION,manner,How does light travel through the void of space if there is no medium for it to ` wave ' or ` pulse ' .
DESCRIPTION,definition,What are the Valdez Principles ?
DESCRIPTION,manner,How can I easily remove red wine stains from t-shirts ?
DESCRIPTION,manner,How do you write MLA style bibliographies for an Internet source ?
HUMAN,description human,Who is Imam Hussain Ben Ali whom Shia people believe in ?
DESCRIPTION,description of st,What is the origin of the word assassinate ?
LOCATION,other loc,"Where can I find information about Bob Barr , representative from Georgia ?"
NUMERIC,other num,What is the frequency of VHF ?
DESCRIPTION,description of st,What are the Arabic Numerals from 1 to 10 ?
ENTITY,other entity,What does the policeman become in the Canadian edition of Monopoly ?
NUMERIC,count,How many electoral votes does it take to win presidency ?
DESCRIPTION,definition,What is digitalis ?
ENTITY,plant,What kind of flowers does detective Nero Wolfe raise ?
ENTITY,substance,What was paper made of in the late 16th century ?
HUMAN,description human,Who was William Henry Harrison ?
DESCRIPTION,description of st,What was the outcome of the 1945 Yalta Conference ?
DESCRIPTION,definition,What is `` flintknapping '' ?
ENTITY,color,What 's the most popular contact lens color ?
LOCATION,city,What were the cities of Dickens 's A Tale of Two Cities ?
DESCRIPTION,reason,What causes canker sores in the mouth ?
NUMERIC,date,In what year was the movie the Ten Commandments released ?
ENTITY,animal,What is the fastest fish in the world ?
ENTITY,color,What color are the castellated walls of the Kremlin ?
ENTITY,event,What is celebrated during the week of February 21-27 ?
ENTITY,other entity,What is damage to business and government caused by bureaucracy ?
LOCATION,country,What countries have the best math students ?
NUMERIC,date,When was the De Beers company founded ?
ENTITY,creative,What was a California prayer book to an Old West gambler ?
HUMAN,ind,Who was the first black performer to have his own network TV show ?
ENTITY,term,What 's another name for aspartame ?
DESCRIPTION,description of st,What did John F. Kennedy consider his greatest blunder in office ?
ABBREVIATION,abb,What 's the abbreviation for trinitrotoluene ?
ENTITY,animal,"What creature is the absolute fastest in moving in the world , birds , mammals , etc. , ?"
NUMERIC,date,What is the date of Bastille Day ?
ABBREVIATION,exp,What is IOC an abbreviation of ?
DESCRIPTION,reason,What 's the proud claim to fame of the young women who formed Kappa Alpha Theta ?
ENTITY,product,Which two products use a tiger as their symbol ?
LOCATION,other loc,"Where did Freidreich Wilhelm Ludwig Leichhardt , Prussian born explorer , go to school ?"
ENTITY,color,What color eyes are most sensitive to light ?
NUMERIC,count,How much folic acid should an expectant mother get daily ?
HUMAN,group,What company uses the unfamiliar faces of its celebrity spokespeople to promote the use of its product ?
ENTITY,dismed,What disease does Katharine Hepburn have that makes her voice shake ?
DESCRIPTION,description of st,"What did FCC chairman Newton Minow declare TV to be on May 9 , 1961 ?"
NUMERIC,count,How much caffeine is in a 16 oz cup of coffee ?
ENTITY,term,What is the name of the art of growing miniature trees ?
LOCATION,country,What two countries in South America are landlocked ?
DESCRIPTION,definition,What does Tiffany mean ?
DESCRIPTION,reason,Why do magnets attract ?
DESCRIPTION,manner,How do you address a Chinese person ?
DESCRIPTION,definition,What is the meaning of thalassemia ?
NUMERIC,code,What is Columbia Tristar 's phone number ?
DESCRIPTION,manner,How do I impress a guy ?
ENTITY,techmeth,What does the method called `` cold fusion '' create ?
NUMERIC,date,When did Princess Diana and Prince Charles get married ?
ENTITY,other entity,What determines the value of the pearl ?
LOCATION,country,Which country did Hitler rule ?
ENTITY,vehicle,"What was the name of the American ship sunk by a mine in Havana harbor , causing the Spanish-American war ?"
HUMAN,ind,Who directed The Wild Bunch ?
ENTITY,other entity,What are emblazoned on the Jolly Roger ?
LOCATION,city,The Orange Bowl is in what city ?
DESCRIPTION,definition,What are the alveoli ?
HUMAN,ind,What comedian was born Allen Stewart Konigsberg ?
NUMERIC,count,How many Leos have been Pope ?
LOCATION,state,What state was Herbert Hoover born in ?
ENTITY,creative,"What TV series featured Neal , a martini-drinking St. Bernard ?"
ENTITY,other entity,What developed a crack in 1835 while tolling the death of U.S. Chief Justice John Marshall ?
NUMERIC,count,How many fiddlers did Old King Cole have ?
HUMAN,ind,"What poet wrote : `` ... I have promises to keep , and miles to go before I sleep '' ?"
DESCRIPTION,definition,What is ethylene ?
ENTITY,creative,What Irwin Allen bomb has Richard Widmark saying he 'll be `` the first officer in history to get his butt kicked by a mess of bugs ! '' ?
ENTITY,dismed,What is a fear of clouds ?
ENTITY,creative,What is the music used in the new VW Beetle commercial where the car spins and changes colors ?
ENTITY,dismed,What is a fear of pregnancy ?
NUMERIC,count,What is the population in India ?
DESCRIPTION,description of st,What is the origin of the word `` pallbearer ? ''
NUMERIC,period,How long do flies live ?
DESCRIPTION,reason,Why is Microsoft 's Windows 3 software so successful ?
HUMAN,ind,Who runs Andy Capp 's favorite pub ?
LOCATION,state,What state produces the best lobster to eat ?
NUMERIC,count,How many times a day does the typical person go to the bathroom ?
ENTITY,sport,What bowl game began as an East-West contest between Michigan and Stanford in 192 ?
LOCATION,other loc,"What islands got their name from the Spanish baja mar , meaning shallow water ?"
DESCRIPTION,definition,"What is deadrise , nautical , ?"
ENTITY,lang,What 's the official language of Algeria ?
ENTITY,other entity,What took first prize in Omni magazine 's contest to find the `` ultimate unanswerable question '' ?
ENTITY,word,What six words follow the line : `` From a jack to a king.. . '' ?
DESCRIPTION,manner,How do I find a city if I have the area code ?
HUMAN,ind,What author of the Days of Our Lives Cookbook signed on in 198 as Liz Chandler in TV 's Days of Our Lives ?
ENTITY,food,What foods contain the most protein ?
HUMAN,ind,What President was assassinated by Charles J. Guiteau ?
HUMAN,ind,What comic of TV 's golden age went by the motto `` Anything for a laugh '' ?
NUMERIC,count,How many feet long is a baseball pitcher 's rubber ?
LOCATION,country,What was the nationality of Jackson Pollock ?
HUMAN,ind,Who invented the game bowling ?
ENTITY,animal,What are the snakes of New England ?
NUMERIC,count,How many times larger than life size is the Statue of Liberty ?
LOCATION,country,What is the name of the country which Hitler ruled ?
HUMAN,group,What group kidnaped Patricia Hearst ?
NUMERIC,period,How long does a human live ?
LOCATION,other loc,Where can I get U.S. economic statistics ?
NUMERIC,count,How many Superbowls have the ers won ?
DESCRIPTION,description of st,What do you do when your mouse is n't working as fast as it 's supposed to ?
DESCRIPTION,definition,What is a gandy dancer ?
HUMAN,ind,Who is the creator of `` The Muppets '' ?
HUMAN,ind,Which of the following celebrities started his show-biz career as a disc jockey ?
ENTITY,animal,What Triple Crown-winning horse took the 1973 Belmont Stakes by 31 lengths ?
NUMERIC,other num,What 's a perfect score in a gymnastics exercise ?
ENTITY,term,What is the dot on an the letter i called ?
LOCATION,city,What 's the capital of Iowa ?
HUMAN,ind,Who asked you to do the Loco-Motion with her in 1962 ?
DESCRIPTION,definition,What 's the rathaus in Frankfurt ?
HUMAN,ind,"What President served for five years , six months and 2 days ?"
ENTITY,term,What do you call the feeling of having experienced something before ?
DESCRIPTION,reason,What incident caused the canning of a summit conference between Eisenhower and Khrushchev ?
ABBREVIATION,abb,What is the abbreviated form of the National Bureau of Investigation ?
ENTITY,dismed,"What is a fear of odors , body , ?"
ENTITY,techmeth,What is the formula to calculate pi ?
DESCRIPTION,description of st,What is the difference between a bachelor and a 1 bedroom apartment ?
HUMAN,ind,What is Drew Barrymore 's middle name ?
DESCRIPTION,manner,How do you write a book report ?
DESCRIPTION,definition,"What are Cobol , Fortran , and Pascal ?"
HUMAN,ind,What is Supergirl 's secret identity ?
LOCATION,other loc,"What is the US Federal Government website for Standard Industrial Classification codes , SIC , ?"
HUMAN,group,What court does Bob Woodward describe in The Brethren ?
HUMAN,ind,Who made the first surfboard ?
HUMAN,ind,What is the name of the police officer who tried to keep order in Top Cat 's neighborhood ?
